empresas_on;principal_acionista;capital_estatal;sede_brasil;ativo_total;patrimonio_liquido;receita_operacional_liquida;lucro_liquido;prejuizo_dummy;ativo_circulante;ativo_nao_circulante;passivo_circulante;passivo_nao_circulante;valor_de_mercado;retorno;divida_total_liquida;metodo_contabil_ifrs;"setor
economatica";setor;acao_fechamento;capital_giro
P.Acucar-Cbd;Wilkes Participacoes S/A;0;1;41956000;10019000;45980000;-446000;1;19918000;22038000;22328000;6992000;14317593;NA;5984000;1;NA;1;NA;-2410000
B2W Digital;Lojas Americanas S.A.;0;1;9718122;3171371;5576650;-383607;1;4501586;5216536;2788773;3757837;3677706.25;-2.18181824684143;2748806;1;NA;1;10.7600002288818;1712813
BR Pharma;BTG Pactual Stigma Llc - Banco BTG Pactual SA;0;1;1882372;626545;1268450;-312132;1;363576;1518796;685704;570123;712411.125;1.44927537441254;533162;1;NA;1;6.30000019073486;-322128
Viavarejo;Cia Brasileira de Distribuicao;0;1;14182000;4141000;13154000;-170000;1;8469000;5713000;7497000;2544000;3789390;2;1710000;1;NA;1;3.5699999332428;972000
Lojas Marisa;Coronation Fund Managers;0;1;2723300;1025169;2019106;-82005;1;1694999;1028301;814068;884063;1355131;0.60606062412262;532475;1;NA;1;6.6399998664856;880931
Dufry Ag;Travel Retail Investments Sca;0;0;34361876;9945668;21098200;-53095;1;7761913;26599962;6590802;17162488;22224542;-0.231347605586052;11964408;1;NA;1;414;1171111
Lojas Americ;S-Velame Adm. de Rec. e Part. S/A;0;1;19038656;1631085;11842315;-43915;1;10065076;8973579;6555351;9656105;21485250;-0.682852804660797;8183551;1;NA;1;13.0900001525879;3509725
Wlm Ind Com;Sajutha-Rio Participacoes S/A;0;1;495914;426713;308580;-12569;1;158601;337313;32574;36118;132748.71875;NA;-35754;1;NA;1;NA;126027
Imc S/A;Semolina FIP;0;1;1561247;1108562;1177442;-11304;1;383462;1177785;233842;208707;906132.625;2.78293132781982;-73020;1;NA;1;5.53999996185303;149620
Profarma;Bmk Participacoes S/A;0;1;2256051;797602;2991466;-10317;1;1565975;690076;950530;507919;606451.0625;-1.14107882976532;389246;1;NA;1;9.52999973297119;615445
Vitalyze.Me;Metropolis Capital Markets Gmbh;0;1;2366;-3025;0;-609;1;633;1733;1687;3704;31157.5;-2.8301887512207;-22;1;NA;1;1.02999997138977;-1054
Lojas Hering;Edda Elisa Steinbach;0;1;52752;18422;2239;240;0;2383;50369;272;34058;NA;NA;-1726;1;NA;1;NA;2111
Minasmaquinas;Bebece - Planejamento, Consultoria e Empreendimentos Ltda.;0;1;145077;110658;150725;9067;0;122287;22790;34419;0;NA;NA;-52196;1;NA;1;NA;87868
Battistella;Alianca Bat. A.P. e Adm. de Bens Lt;0;1;231563;37551;74380;18647;0;31180;200383;96852;97160;65059.44921875;NA;85056;1;NA;1;NA;-65672
Grazziotin;Vr Grazziotin S/A Adm Particip;0;1;630116.6875;476231.1875;288144.4375;36478.234375;0;338849.40625;291267.28125;81953.75;71931.46875;390447.65625;-0.0558971501886845;-142926.390625;1;NA;1;17.8799991607666;256895.65625
Dimed;Julio Ricardo Andrighetto Mottin;0;1;756970;372042;1559432;37649;0;531056;225914;313829;71099;1951695.625;2.22954535484314;88613;1;NA;1;449.809997558594;217227
Magaz Luiza;Ltd Administracao e Participacoes S.A.;0;1;5200333;696308;6669470;40496;0;3010297;2190036;2940403;1563622;2077171.5;0.594059407711029;952689;1;NA;1;96.5199966430664;69894
Natura;Lisis Participacoes S/A;0;1;7947714;910994;5617952;94913;0;4436879;3510835;4280732;2709266;11532094;-0.0745712146162987;2254915;1;NA;1;26.7999992370605;156147
Lojas Renner;Trowe Price Associates, Inc (Gestor/Administrador - Vide Item 15.7 Abaixo);0;1;5674332;2366123;4340777;325227;0;3356909;2317423;2384018;924191;14726861;0;1172365;1;NA;1;22.9300003051758;972891
